,state,action,reward,value
132,"(2, 1)",lower-right,1.3944487245360109,48.21560152004778
133,"(2, 2)",up,-0.7573593128807152,2.241694200726741
134,"(2, 2)",down,0.6370894116552956,1.315496227874854
135,"(2, 2)",left,-0.7573593128807152,-0.20524437379067384
136,"(2, 2)",right,0.6370894116552956,0.11962784993875553
137,"(2, 2)",upper-left,-1.4142135623730958,-0.2300117522413108
138,"(2, 2)",upper-right,-0.22949526788029484,-0.043604100897256026
139,"(2, 2)",lower-left,-0.22949526788029484,-0.05093599480331362
140,"(2, 2)",lower-right,1.4142135623730945,25.06631567498021
141,"(2, 3)",up,-0.8665846795355905,2.9999536026640516
142,"(2, 3)",down,0.7771241507177988,27.63756982192298
143,"(2, 3)",left,-0.6370894116552956,0.007365078639656264
144,"(2, 3)",right,0.4432736152956096,2.8150207390351882
145,"(2, 3)",upper-left,-1.3944487245360109,1.0498273564947276
146,"(2, 3)",upper-right,-0.5175543501536715,0.0
147,"(2, 3)",lower-left,-0.0,0.07208802138263273
148,"(2, 3)",lower-right,1.3694832979641993,0.4721863226995146
149,"(2, 4)",up,-0.9608279654492811,-0.2141565651106295
150,"(2, 4)",down,0.9262096826685897,3.094232164218881
151,"(2, 4)",left,-0.4432736152956096,-0.05024313590991924
152,"(2, 4)",right,0.16227766016837952,3.1917867125401083
153,"(2, 4)",upper-left,-1.3098582948312,-0.39084931164333425
154,"(2, 4)",upper-right,-0.8377223398316205,2.621357057233973
155,"(2, 4)",lower-left,0.33385053542218923,0.2605561631968441
156,"(2, 4)",lower-right,1.1622776601683795,39.87890141812889
157,"(2, 5)",up,-1.0,2.510929184027282
158,"(2, 5)",down,1.0,0.7564775204562946
159,"(2, 5)",left,-0.16227766016837952,0.06460854155282113
160,"(2, 5)",right,-0.16227766016837952,0.056645046484034484
161,"(2, 5)",upper-left,-1.1231056256176606,4.1340709722887
162,"(2, 5)",upper-right,-1.1231056256176606,-0.2439770150790914
163,"(2, 5)",lower-left,0.7639320225002102,0.276842558153895
164,"(2, 5)",lower-right,0.7639320225002102,44.65711528277487
165,"(2, 6)",up,-0.9608279654492811,-0.22196109105540718
166,"(2, 6)",down,0.9262096826685897,10.642673481310734
167,"(2, 6)",left,0.16227766016837952,0.1722100087858479
168,"(2, 6)",right,-0.4432736152956096,-0.03021368245115731
169,"(2, 6)",upper-left,-0.8377223398316205,-0.12434065831014655
170,"(2, 6)",upper-right,-1.3098582948312,-0.12549692677709878
171,"(2, 6)",lower-left,1.1622776601683795,0.0
